filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,0,"{""name"":""rect"",""x"":848,""y"":810,""width"":49,""height"":45}","{""beneventan"":""puncta""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,1,"{""name"":""rect"",""x"":934,""y"":814,""width"":39,""height"":65}","{""beneventan"":""virga""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,2,"{""name"":""rect"",""x"":965,""y"":850,""width"":37,""height"":29}","{""beneventan"":""puncta""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,3,"{""name"":""rect"",""x"":995,""y"":795,""width"":65,""height"":59}","{""beneventan"":""porrectus""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,4,"{""name"":""rect"",""x"":1042,""y"":824,""width"":35,""height"":73}","{""beneventan"":""virga""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,5,"{""name"":""rect"",""x"":1085,""y"":797,""width"":41,""height"":63}","{""beneventan"":""pes""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,6,"{""name"":""rect"",""x"":1132,""y"":797,""width"":61,""height"":59}","{""beneventan"":""torculus""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,7,"{""name"":""rect"",""x"":1228,""y"":842,""width"":45,""height"":43}","{""beneventan"":""puncta""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,8,"{""name"":""rect"",""x"":1440,""y"":785,""width"":47,""height"":82}","{""beneventan"":""pes""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,9,"{""name"":""rect"",""x"":1491,""y"":812,""width"":41,""height"":37}","{""beneventan"":""puncta""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,10,"{""name"":""rect"",""x"":1536,""y"":816,""width"":39,""height"":41}","{""beneventan"":""puncta""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,11,"{""name"":""rect"",""x"":1587,""y"":810,""width"":39,""height"":47}","{""beneventan"":""puncta""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,12,"{""name"":""rect"",""x"":1638,""y"":816,""width"":39,""height"":35}","{""beneventan"":""puncta""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,13,"{""name"":""rect"",""x"":1672,""y"":810,""width"":45,""height"":37}","{""beneventan"":""puncta""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,14,"{""name"":""rect"",""x"":1750,""y"":806,""width"":55,""height"":57}","{""beneventan"":""liq""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,15,"{""name"":""rect"",""x"":1842,""y"":816,""width"":71,""height"":82}","{""beneventan"":""custos""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,16,"{""name"":""rect"",""x"":848,""y"":983,""width"":49,""height"":90}","{""beneventan"":""pes""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,17,"{""name"":""rect"",""x"":965,""y"":987,""width"":35,""height"":45}","{""beneventan"":""puncta""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,18,"{""name"":""rect"",""x"":1050,""y"":969,""width"":49,""height"":65}","{""beneventan"":""pes""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,19,"{""name"":""rect"",""x"":1103,""y"":971,""width"":53,""height"":69}","{""beneventan"":""clivis""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,20,"{""name"":""rect"",""x"":1234,""y"":963,""width"":67,""height"":73}","{""beneventan"":""torculus""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,21,"{""name"":""rect"",""x"":1460,""y"":971,""width"":39,""height"":57}","{""beneventan"":""virga""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,22,"{""name"":""rect"",""x"":1538,""y"":995,""width"":57,""height"":39}","{""beneventan"":""puncta""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,23,"{""name"":""rect"",""x"":1662,""y"":983,""width"":47,""height"":86}","{""beneventan"":""pes""}"
C32_25r-30r-4.jpg,3494117,"{""beneventan"":""beneventan""}",129,24,"{""name"":""rect"",""x"":1746,""y"":969,""width"":51,""height"":63}","{""beneventan"":""pes""}"
